key;scientificName;decimalLatitude;decimalLongitude;issues;datasetKey;basisOfRecord;occurrenceStatus;acceptedScientificName;kingdom;phylum;family;genus;species;genericName;specificEpithet;taxonRank;taxonomicStatus;iucnRedListCategory;class
4510187739;Mastigodryas boddaerti ruthveni (Stuart, 1933);11,102645;-74,071861;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Mastigodryas boddaerti ruthveni (Stuart, 1933);Animalia;Chordata;Colubridae;Mastigodryas;Mastigodryas boddaerti;Mastigodryas;boddaerti;SUBSPECIES;ACCEPTED;NA;Squamata
4510164065;Gonatodes albogularis fuscus (Hallowell, 1855);11,236911;-74,147557;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Gonatodes albogularis fuscus (Hallowell, 1855);Animalia;Chordata;Sphaerodactylidae;Gonatodes;Gonatodes albogularis;Gonatodes;albogularis;SUBSPECIES;ACCEPTED;NA;Squamata
4510383127;Anolis auratus Daudin, 1802;11,236911;-74,147557;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Anolis auratus Daudin, 1802;Animalia;Chordata;Dactyloidae;Anolis;Anolis auratus;Anolis;auratus;SPECIES;ACCEPTED;LC;Squamata
4512139216;Rhinella horribilis (Wiegmann, 1833);11,270515;-73,921472;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Rhinella horribilis (Wiegmann, 1833);Animalia;Chordata;Bufonidae;Rhinella;Rhinella horribilis;Rhinella;horribilis;SPECIES;ACCEPTED;NE;Amphibia
4512233632;Pseudoboa neuwiedii (Duméril, Bibron & Duméril, 1854);11,322541;-73,955253;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Pseudoboa neuwiedii (Duméril, Bibron & Duméril, 1854);Animalia;Chordata;Colubridae;Pseudoboa;Pseudoboa neuwiedii;Pseudoboa;neuwiedii;SPECIES;ACCEPTED;LC;Squamata
4512268274;Cnemidophorus gaigei Ruthven, 1915;11,320593;-74,098192;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Cnemidophorus gaigei Ruthven, 1915;Animalia;Chordata;Teiidae;Cnemidophorus;Cnemidophorus gaigei;Cnemidophorus;gaigei;SPECIES;ACCEPTED;NE;Squamata
4512238973;Cebus malitiosus Elliot, 1909;11,235401;-73,955896;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Cebus malitiosus Elliot, 1909;Animalia;Chordata;Cebidae;Cebus;Cebus malitiosus;Cebus;malitiosus;SPECIES;ACCEPTED;EN;Mammalia
4512324396;Thecadactylus rapicauda (Houttuyn, 1782);11,202;-74,08663;cdc;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Thecadactylus rapicauda (Houttuyn, 1782);Animalia;Chordata;Phyllodactylidae;Thecadactylus;Thecadactylus rapicauda;Thecadactylus;rapicauda;SPECIES;ACCEPTED;LC;Squamata
4512324972;Iguana iguana (Linnaeus, 1758);11,285633;-74,231951;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Iguana iguana (Linnaeus, 1758);Animalia;Chordata;Iguanidae;Iguana;Iguana iguana;Iguana;iguana;SPECIES;ACCEPTED;LC;Squamata
4516813647;Iguana iguana (Linnaeus, 1758);11,270617;-74,196428;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Iguana iguana (Linnaeus, 1758);Animalia;Chordata;Iguanidae;Iguana;Iguana iguana;Iguana;iguana;SPECIES;ACCEPTED;LC;Squamata
4516723118;Boana platanera Escalona, Marca, Castellanos, Fouquet, Crawford, Rojas-Runjaic, Giaretta, Señaris & Castroviejo-Fisher, 2021;11,257066;-73,892692;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Boana platanera Escalona, Marca, Castellanos, Fouquet, Crawford, Rojas-Runjaic, Giaretta, Señaris & Castroviejo-Fisher, 2021;Animalia;Chordata;Hylidae;Boana;Boana platanera;Boana;platanera;SPECIES;ACCEPTED;NE;Amphibia
4516475872;Hemidactylus frenatus Duméril & Bibron, 1836;11,289312;-73,913851;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Hemidactylus frenatus Duméril & Bibron, 1836;Animalia;Chordata;Gekkonidae;Hemidactylus;Hemidactylus frenatus;Hemidactylus;frenatus;SPECIES;ACCEPTED;NE;Squamata
4516840799;Cerdocyon thous (Linnaeus, 1766);11,299606;-73,915977;cdc;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Cerdocyon thous (Linnaeus, 1766);Animalia;Chordata;Canidae;Cerdocyon;Cerdocyon thous;Cerdocyon;thous;SPECIES;ACCEPTED;LC;Mammalia
4516680807;Sciurus granatensis Humboldt, 1811;11,096781;-74,069636;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Sciurus granatensis Humboldt, 1811;Animalia;Chordata;Sciuridae;Sciurus;Sciurus granatensis;Sciurus;granatensis;SPECIES;ACCEPTED;LC;Mammalia
4519142380;Atractus sanctaemartae Dunn, 1946;11,101405;-74,072032;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Atractus sanctaemartae Dunn, 1946;Animalia;Chordata;Colubridae;Atractus;Atractus sanctaemartae;Atractus;sanctaemartae;SPECIES;ACCEPTED;LC;Squamata
4519202177;Cnemidophorus gaigei Ruthven, 1915;11,334369;-73,990477;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Cnemidophorus gaigei Ruthven, 1915;Animalia;Chordata;Teiidae;Cnemidophorus;Cnemidophorus gaigei;Cnemidophorus;gaigei;SPECIES;ACCEPTED;NE;Squamata
4519231927;Dendrobates truncatus (Cope, 1861);11,328485;-73,99627;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Dendrobates truncatus (Cope, 1861);Animalia;Chordata;Dendrobatidae;Dendrobates;Dendrobates truncatus;Dendrobates;truncatus;SPECIES;ACCEPTED;LC;Amphibia
4522528163;Basiliscus basiliscus (Linnaeus, 1758);11,325346;-73,962982;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Basiliscus basiliscus (Linnaeus, 1758);Animalia;Chordata;Corytophanidae;Basiliscus;Basiliscus basiliscus;Basiliscus;basiliscus;SPECIES;ACCEPTED;LC;Squamata
4522686867;Alouatta seniculus (Linnaeus, 1766);11,357771;-73,882285;cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Alouatta seniculus (Linnaeus, 1766);Animalia;Chordata;Atelidae;Alouatta;Alouatta seniculus;Alouatta;seniculus;SPECIES;ACCEPTED;LC;Mammalia
4600015378;Aotus griseimembra Elliot, 1912;11,324175;-73,97733;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Aotus griseimembra Elliot, 1912;Animalia;Chordata;Aotidae;Aotus;Aotus griseimembra;Aotus;griseimembra;SPECIES;ACCEPTED;VU;Mammalia
4525155106;Atelopus laetissimus Ruiz-Carranza, Ardila-Robayo & Hernández-Camacho, 1994;10,918577;-73,907789;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Atelopus laetissimus Ruiz-Carranza, Ardila-Robayo & Hernández-Camacho, 1994;Animalia;Chordata;Bufonidae;Atelopus;Atelopus laetissimus;Atelopus;laetissimus;SPECIES;ACCEPTED;EN;Amphibia
4528310481;Erythrolamprus epinephalus kogiorum (Bernal-Carlo, 1994);10,876922;-74,021122;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Erythrolamprus epinephalus kogiorum (Bernal-Carlo, 1994);Animalia;Chordata;Colubridae;Erythrolamprus;Erythrolamprus epinephalus;Erythrolamprus;epinephalus;SUBSPECIES;ACCEPTED;NA;Squamata
4606674334;Strabomantidae;10,947931;-73,892784;cdc,cdround,txmathi;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Craugastoridae;Animalia;Chordata;Craugastoridae;NA;NA;NA;NA;FAMILY;SYNONYM;NA;Amphibia
4535587228;Saccopteryx bilineata (Temminck, 1838);11,301095;-73,917895;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Saccopteryx bilineata (Temminck, 1838);Animalia;Chordata;Emballonuridae;Saccopteryx;Saccopteryx bilineata;Saccopteryx;bilineata;SPECIES;ACCEPTED;LC;Mammalia
4535788133;Uroderma bilobatum Peters, 1866;11,302944;-73,923424;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Uroderma bilobatum Peters, 1866;Animalia;Chordata;Phyllostomidae;Uroderma;Uroderma bilobatum;Uroderma;bilobatum;SPECIES;ACCEPTED;LC;Mammalia
4528342501;Leptodeira ashmeadii (Hallowell, 1845);11,29581;-73,912161;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Leptodeira ashmeadii (Hallowell, 1845);Animalia;Chordata;Colubridae;Leptodeira;Leptodeira ashmeadii;Leptodeira;ashmeadii;SPECIES;ACCEPTED;NE;Squamata
4535817199;Coendou longicaudatus Daudin, 1802;11,29581;-73,912161;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Coendou longicaudatus Daudin, 1802;Animalia;Chordata;Erethizontidae;Coendou;Coendou longicaudatus;Coendou;longicaudatus;SPECIES;ACCEPTED;NE;Mammalia
4528292582;Thecadactylus rapicauda (Houttuyn, 1782);11,297066;-73,913561;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Thecadactylus rapicauda (Houttuyn, 1782);Animalia;Chordata;Phyllodactylidae;Thecadactylus;Thecadactylus rapicauda;Thecadactylus;rapicauda;SPECIES;ACCEPTED;LC;Squamata
4528075403;Anolis biporcatus (Wiegmann, 1834);11,288899;-73,905272;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Anolis biporcatus (Wiegmann, 1834);Animalia;Chordata;Dactyloidae;Anolis;Anolis biporcatus;Anolis;biporcatus;SPECIES;ACCEPTED;LC;Squamata
4535884206;Coendou longicaudatus Daudin, 1802;11,288899;-73,905272;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Coendou longicaudatus Daudin, 1802;Animalia;Chordata;Erethizontidae;Coendou;Coendou longicaudatus;Coendou;longicaudatus;SPECIES;ACCEPTED;NE;Mammalia
4535923191;Iguana iguana (Linnaeus, 1758);11,142845;-74,118887;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Iguana iguana (Linnaeus, 1758);Animalia;Chordata;Iguanidae;Iguana;Iguana iguana;Iguana;iguana;SPECIES;ACCEPTED;LC;Squamata
4597448623;Basiliscus basiliscus (Linnaeus, 1758);11,27754;-73,928318;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Basiliscus basiliscus (Linnaeus, 1758);Animalia;Chordata;Corytophanidae;Basiliscus;Basiliscus basiliscus;Basiliscus;basiliscus;SPECIES;ACCEPTED;LC;Squamata
4607435565;Saguinus oedipus (Linnaeus, 1758);11,225148;-73,973613;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Saguinus oedipus (Linnaeus, 1758);Animalia;Chordata;Callitrichidae;Saguinus;Saguinus oedipus;Saguinus;oedipus;SPECIES;ACCEPTED;CR;Mammalia
4607285769;Cnemidophorus gaigei Ruthven, 1915;11,324623;-73,962196;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Cnemidophorus gaigei Ruthven, 1915;Animalia;Chordata;Teiidae;Cnemidophorus;Cnemidophorus gaigei;Cnemidophorus;gaigei;SPECIES;ACCEPTED;NE;Squamata
4607061710;Cebus malitiosus Elliot, 1909;11,298662;-73,950702;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Cebus malitiosus Elliot, 1909;Animalia;Chordata;Cebidae;Cebus;Cebus malitiosus;Cebus;malitiosus;SPECIES;ACCEPTED;EN;Mammalia
4607397488;Gonatodes albogularis fuscus (Hallowell, 1855);11,312538;-73,936552;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Gonatodes albogularis fuscus (Hallowell, 1855);Animalia;Chordata;Sphaerodactylidae;Gonatodes;Gonatodes albogularis;Gonatodes;albogularis;SUBSPECIES;ACCEPTED;NA;Squamata
4606796882;Tamandua mexicana (Saussure, 1860);11,299538;-73,916405;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Tamandua mexicana (Saussure, 1860);Animalia;Chordata;Myrmecophagidae;Tamandua;Tamandua mexicana;Tamandua;mexicana;SPECIES;ACCEPTED;LC;Mammalia
4606705223;Saguinus oedipus (Linnaeus, 1758);11,395705;-73,981898;cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Saguinus oedipus (Linnaeus, 1758);Animalia;Chordata;Callitrichidae;Saguinus;Saguinus oedipus;Saguinus;oedipus;SPECIES;ACCEPTED;CR;Mammalia
4606788025;Basiliscus basiliscus (Linnaeus, 1758);11,275128;-73,920083;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Basiliscus basiliscus (Linnaeus, 1758);Animalia;Chordata;Corytophanidae;Basiliscus;Basiliscus basiliscus;Basiliscus;basiliscus;SPECIES;ACCEPTED;LC;Squamata
4606850701;Strabomantidae;10,848104;-73,921311;cdc,cdround,txmathi;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Craugastoridae;Animalia;Chordata;Craugastoridae;NA;NA;NA;NA;FAMILY;SYNONYM;NA;Amphibia
4607537318;Cnemidophorus gaigei Ruthven, 1915;11,299225;-73,997728;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Cnemidophorus gaigei Ruthven, 1915;Animalia;Chordata;Teiidae;Cnemidophorus;Cnemidophorus gaigei;Cnemidophorus;gaigei;SPECIES;ACCEPTED;NE;Squamata
4607457941;Leptodeira ashmeadii (Hallowell, 1845);11,296852;-73,913149;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Leptodeira ashmeadii (Hallowell, 1845);Animalia;Chordata;Colubridae;Leptodeira;Leptodeira ashmeadii;Leptodeira;ashmeadii;SPECIES;ACCEPTED;NE;Squamata
4606952951;Ameiva praesignis (Baird & Girard, 1852);10,855984;-74,03243;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Ameiva praesignis (Baird & Girard, 1852);Animalia;Chordata;Teiidae;Ameiva;Ameiva praesignis;Ameiva;praesignis;SPECIES;ACCEPTED;LC;Squamata
4607029309;Saguinus oedipus (Linnaeus, 1758);11,312626;-73,981074;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Saguinus oedipus (Linnaeus, 1758);Animalia;Chordata;Callitrichidae;Saguinus;Saguinus oedipus;Saguinus;oedipus;SPECIES;ACCEPTED;CR;Mammalia
4607029407;Saguinus oedipus (Linnaeus, 1758);11,345656;-73,804952;cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Saguinus oedipus (Linnaeus, 1758);Animalia;Chordata;Callitrichidae;Saguinus;Saguinus oedipus;Saguinus;oedipus;SPECIES;ACCEPTED;CR;Mammalia
4847109003;Bolitoglossa savagei Brame & Wake, 1963;11,075749;-74,065722;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Bolitoglossa savagei Brame & Wake, 1963;Animalia;Chordata;Plethodontidae;Bolitoglossa;Bolitoglossa savagei;Bolitoglossa;savagei;SPECIES;ACCEPTED;NT;Amphibia
4846812955;Bolitoglossa savagei Brame & Wake, 1963;11,028791;-74,067991;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Bolitoglossa savagei Brame & Wake, 1963;Animalia;Chordata;Plethodontidae;Bolitoglossa;Bolitoglossa savagei;Bolitoglossa;savagei;SPECIES;ACCEPTED;NT;Amphibia
4846891397;Cnemidophorus gaigei Ruthven, 1915;11,320897;-73,955267;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Cnemidophorus gaigei Ruthven, 1915;Animalia;Chordata;Teiidae;Cnemidophorus;Cnemidophorus gaigei;Cnemidophorus;gaigei;SPECIES;ACCEPTED;NE;Squamata
4847078148;Dasyprocta punctata Gray, 1842;11,319283;-73,954675;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Dasyprocta punctata Gray, 1842;Animalia;Chordata;Dasyproctidae;Dasyprocta;Dasyprocta punctata;Dasyprocta;punctata;SPECIES;ACCEPTED;LC;Mammalia
4846956522;Gonatodes albogularis fuscus (Hallowell, 1855);11,311594;-73,94665;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Gonatodes albogularis fuscus (Hallowell, 1855);Animalia;Chordata;Sphaerodactylidae;Gonatodes;Gonatodes albogularis;Gonatodes;albogularis;SUBSPECIES;ACCEPTED;NA;Squamata
4855178719;Cebus malitiosus Elliot, 1909;11,371742;-73,931493;cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Cebus malitiosus Elliot, 1909;Animalia;Chordata;Cebidae;Cebus;Cebus malitiosus;Cebus;malitiosus;SPECIES;ACCEPTED;EN;Mammalia
4522619813;Didelphis marsupialis Linnaeus, 1758;11,254375;-73,6483;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Didelphis marsupialis Linnaeus, 1758;Animalia;Chordata;Didelphidae;Didelphis;Didelphis marsupialis;Didelphis;marsupialis;SPECIES;ACCEPTED;LC;Mammalia
4525087089;Anolis solitarius Ruthven, 1916;11,190642;-74,06731;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Anolis solitarius Ruthven, 1916;Animalia;Chordata;Dactyloidae;Anolis;Anolis solitarius;Anolis;solitarius;SPECIES;ACCEPTED;NT;Squamata
4599988370;Cebus malitiosus Elliot, 1909;11,255067;-73,995225;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Cebus malitiosus Elliot, 1909;Animalia;Chordata;Cebidae;Cebus;Cebus malitiosus;Cebus;malitiosus;SPECIES;ACCEPTED;EN;Mammalia
4535896619;Gonatodes albogularis (Duméril & Bibron, 1836);11,147822;-74,124327;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Gonatodes albogularis (Duméril & Bibron, 1836);Animalia;Chordata;Sphaerodactylidae;Gonatodes;Gonatodes albogularis;Gonatodes;albogularis;SPECIES;ACCEPTED;LC;Squamata
